Sno.,App.No.,Geographical Indications,Status,Goods,State
0001,0143,Guntur Sannam Chilli,Registered,Agricultural,Andhra Pradesh
0002,0121,Tirupathi Laddu,Registered,Food Stuff,Andhra Pradesh
0003,0433,Bandar Laddu,Registered,Food Stuff,Andhra Pradesh
0004,0804,Atreyapuram Pootharekulu,Registered,Food Stuff,Andhra Pradesh
0005,0028,Srikalahasthi Kalamkari,Registered,Handicraft,Andhra Pradesh
0006,0044,Kondapalli Bommalu,Registered,Handicraft,Andhra Pradesh
0007,0089,Budithi Bell & Brass Metal Craft,Registered,Handicraft,Andhra Pradesh
0008,0090,Machilipatnam Kalamkari,Registered,Handicraft,Andhra Pradesh
0009,0107,Andhra Pradesh Leather Puppetry,Registered,Handicraft,Andhra Pradesh
0010,0122,Uppada Jamdani Sarees,Registered,Handicraft,Andhra Pradesh
0011,0189,Venkatagiri Sarees,Registered,Handicraft,Andhra Pradesh
0012,0198,Mangalagiri Sarees And Fabrics,Registered,Handicraft,Andhra Pradesh
0013,0203,Bobbili Veena,Registered,Handicraft,Andhra Pradesh
0014,0215,Dharmavaram Handloom Pattu Sarees And Paavadas,Registered,Handicraft,Andhra Pradesh
0015,0481,Durgi Stone Carvings,Registered,Handicraft,Andhra Pradesh
0016,0482,Etikoppaka Toys,Registered,Handicraft,Andhra Pradesh
0017,0522,Udayagiri Wooden Cutlery,Registered,Handicraft,Andhra Pradesh
0018,0524,Allagadda Stone Carving,Registered,Handicraft,Andhra Pradesh
0019,0713,Narasapur Crochet Lace Products,Registered,Handicraft,Andhra Pradesh
0020,0375,Arunachal Orange,Registered,Agricultural,Arunachal Pradesh
0021,0803,Arunachal Pradesh Khaw Tai” (Khamti Rice),Registered,Agricultural,Arunachal Pradesh
0022,0855,Arunachal Pradesh Adi Kekir (Ging,Registered,Agricultural,Arunachal Pradesh
0023,1068,Arunachal Pradesh Angnyat Millet,Registered,Agricultural,Arunachal Pradesh
