Sn.,Application no,Product,Goods,State
1,1,Darjeeling Tea (word & logo) ,Agricultural ,West Bengal 
2,3,Aranmula Kannadi ,Handicraft ,Kerala 
3,67,Molela Clay Work ,Handicraft ,Rajasthan 
4,68,Kathputlis of Rajasthan ,Handicraft ,Rajasthan 
5,97,Leather Toys of Indore ,Handicraft ,Madhya Pradesh 
6,,Bagh Prints of Madhya,,
7,98,,Handicraft ,Madhya Pradesh 
8,,Pradesh ,,
9,100,Sankheda Furniture ,Handicraft ,Gujarat 
10,101,Agates of Cambay ,Handicraft ,Gujarat 
11,,Bell Metal Ware of Datia and,,
12,102,,Handicraft ,Madhya Pradesh 
13,5,Salem Fabric ,Handicraft ,Tamil Nadu 
14,,Tikamgarh ,,
15,103,Kutch Embroidery ,Handicraft ,Gujarat 
16,51,Kani Shawl ,Handicraft ,Jammu & Kashmir 
17,79,Chamba Rumal ,Handicraft ,Himachal Pradesh 
18,80,Dharwad Pedha ,Food stuff ,Karnataka 
19,81,Pokkali Rice ,Agricultural ,Kerala 
20,108,Pipli Applique Work ,Handicraft ,Odisha 
21,,,3,
22,,Budithi Bell & Brass Metal,,
23,89,,Handicraft ,Andhra Pradesh 
24,8,Solapur Chaddar ,Handicraft ,Maharashtra 
25,,Craft ,,
26,96,Thanjavur Doll ,Handicraft ,Tamil Nadu 
27,104,Santiniketan Leather Goods ,Handicraft ,West Bengal 
28,105,Nirmal Furniture ,Handicraft ,Telangana 
29,106,Nirmal Paintings ,Handicraft ,Telangana 
30,,Andhra Pradesh Leather,,
31,107,,Handicraft ,Andhra Pradesh 
32,,Puppetry ,,
33,111,Malda Laxman Bhog Mango ,Agricultural ,West Bengal 
34,,Malda Khirsapati (Himsagar),,
35,9,Solapur Terry Towel ,Handicraft ,Maharashtra 
36,112,,Agricultural ,West Bengal 
37,,Mango ,,
38,113,Malda Fazli Mango ,Agricultural ,West Bengal 
39,46,Kashmir Pashmina ,Handicraft ,Jammu & Kashmir 
40,48,Kashmir Sozani Craft ,Handicraft ,Jammu & Kashmir 
41,109,Naga Mircha ,Agricultural ,Nagaland 
42,117,Nilgiri (Orthodox) ,Agricultural ,Tamil Nadu 
43,118,Assam (Orthodox) ,Agricultural ,Assam 
44,119,Lucknow Chikan Craft ,Handicraft ,Uttar Pradesh 
45,124,Virupakshi Hill Banana ,Agricultural ,Tamil Nadu 
46,11,Mysore Silk ,Handicraft ,Karnataka 
47,126,Sirumalai Hill Banana ,Agricultural ,Tamil Nadu 
48,120,Feni ,Manufactured ,Goa 
49,122,Uppada Jamdani Sarees ,Handicraft ,Andhra Pradesh 
50,,FROM APRIL 2009 ? MARCH 2010 ,,
51,121,Tirupathi Laddu ,Food stuff ,Andhra Pradesh 
52,,Mango Malihabadi,,
53,125,,Agricultural ,Uttar Pradesh 
54,,Dusseheri ,,
55,128,Puneri Pagadi ,Handicraft ,Maharashtra 
56,,Banaras Brocades and,,
57,19,Kullu Shawl ,Handicraft ,Himachal Pradesh 
58,99,,Handicraft ,Uttar Pradesh 
59,,Sarees ,,
60,127,Tangaliya Shawl ,Handicraft ,Gujarat 
61,130,Vazhakulam Pineapple ,Agricultural ,Kerala 
62,131,Devanahalli Pomello ,Agricultural ,Karnataka 
63,132,Appemidi Mango ,Agricultural ,Karnataka 
64,133,Kamalapur Red Banana ,Agricultural ,Karnataka 
65,138,Santipore Saree ,Handicraft ,West Bengal 
66,,Cannanore Home,,
67,144,,Handicraft ,Kerala 
68,21,Madurai Sungudi ,Handicraft ,Tamil Nadu 
69,,Furnishings ,,
70,,,4,
71,43,Peruvian Pisco ,Manufactured ,Peru 
72,,Sanganeri Hand Block,,
73,147,,Handicraft ,Rajasthan 
74,,Printing ,,
75,,Balaramapuram Sarees and,,
76,152,,Handicraft ,Kerala 
77,,Fine Cotton Fabrics ,,
78,,FROM APRIL 2010? MARCH 2011 ,,
79,25,Kangra Tea ,Agricultural ,Himachal Pradesh 
80,142,Bikaneri Bhujia ,Food Stuff ,Rajasthan 
81,143,Guntur Sannam Chilli ,Agricultural ,Andhra Pradesh 
82,123,Nashik Valley Wine ,Manufactured ,Maharashtra 
83,137,Gadwal Sarees ,Handicraft ,Telangana 
84,149,Kinnauri Shawl ,Handicraft ,Himachal Pradesh 
85,170,Kasaragod Sarees ,Handicraft ,Kerala 
86,179,Kuthampully Sarees ,Handicraft ,Kerala 
87,134,Sandur Lambani Embroidery ,Handicraft ,Karnataka 
88,,Hand Made Carpet of,,
89,148,,Handicraft ,Uttar Pradesh 
90,33,Coorg Orange ,Agricultural ,Karnataka 
91,,Bhadohi ,,
92,153,Paithani Sarees and Fabrics ,Handicraft ,Maharashtra 
93,154,Mahabaleshwar Strawberry ,Agricultural ,Maharashtra 
94,193,Hyderabad Haleem ,Food Stuff ,Telangana 
95,140,Champangne,Manufactured ,France 
96,146,Napa Valley ,Manufactured ,United States of America 
97,163,Central Travancore Jaggery ,Agricultural ,Kerala 
98,,Champa Silk Saree And,,
99,172,,Handicraft ,Chhattisgarh 
100,,Fabrics ,,
